,STNAME,CTYNAME,PRICE,YEAR,POPULATION,STATEPOP,POPWEIGHT,W_PRICE
766,Kentucky,Pike County,47034.0,2010,65074,4348181,0.015,703.9
767,Texas,San Patricio County,110992.0,2010,64431,25241971,0.0026,283.31
768,Ohio,Athens County,100477.0,2010,65173,11539336,0.0056,567.48
769,New Mexico,Lea County,0.0,2010,64598,2064552,0.0313,0.0
770,California,Lake County,151416.0,2010,64735,37319502,0.0017,262.65
771,Texas,Nacogdoches County,104943.0,2010,64685,25241971,0.0026,268.93
772,New York,Herkimer County,89802.0,2010,64470,19399878,0.0033,298.43
773,Kansas,Reno County,83253.0,2010,64552,2858190,0.0226,1880.26
774,Minnesota,Rice County,160545.0,2010,64243,5310828,0.0121,1942.05
775,Georgia,Spalding County,0.0,2010,64096,9711881,0.0066,0.0
776,Minnesota,Blue Earth County,145309.0,2010,64086,5310828,0.0121,1753.45
777,Georgia,Catoosa County,118642.0,2010,64069,9711881,0.0066,782.68
778,Michigan,Ionia County,101787.0,2010,63842,9877510,0.0065,657.89
779,New Mexico,Otero County,0.0,2010,64403,2064552,0.0312,0.0
780,Virginia,Pittsylvania County,112039.0,2010,63586,8023699,0.0079,887.88
781,North Carolina,Chatham County,267551.0,2010,63845,9574323,0.0067,1784.13
782,California,Tehama County,0.0,2010,63559,37319502,0.0017,0.0
783,Georgia,Liberty County,104983.0,2010,62765,9711881,0.0065,678.47
784,North Carolina,Sampson County,76500.0,2010,63532,9574323,0.0066,507.63
785,Montana,Lewis and Clark County,201515.0,2010,63577,990697,0.0642,12932.03
786,Michigan,Montcalm County,98259.0,2010,63315,9877510,0.0064,629.84
787,New York,Washington County,122166.0,2010,63356,19399878,0.0033,398.97
788,New York,Columbia County,206544.0,2010,63036,19399878,0.0032,671.12
789,Kentucky,Pulaski County,96556.0,2010,63190,4348181,0.0145,1403.2
790,Oregon,Coos County,160799.0,2010,63007,3837491,0.0164,2640.13
791,Pennsylvania,Bradford County,97013.0,2010,62731,12711160,0.0049,478.77
792,Tennessee,Hamblen County,118178.0,2010,62510,6355311,0.0098,1162.38
793,Minnesota,Crow Wing County,152122.0,2010,62609,5310828,0.0118,1793.36
794,Ohio,Lawrence County,76719.0,2010,62424,11539336,0.0054,415.02
795,Wisconsin,Chippewa County,130007.0,2010,62638,5690475,0.011,1431.05
796,West Virginia,Mercer County,60975.0,2010,62336,1854239,0.0336,2049.86
797,New York,Otsego County,118727.0,2010,62259,19399878,0.0032,381.02
798,Wisconsin,Sauk County,152999.0,2010,62050,5690475,0.0109,1668.33
799,Arkansas,Crawford County,99275.0,2010,61956,2921964,0.0212,2104.98
800,Ohio,Washington County,94823.0,2010,61713,11539336,0.0053,507.12
801,Louisiana,Acadia Parish,0.0,2010,61877,4544532,0.0136,0.0
802,Arkansas,Pope County,98993.0,2010,62109,2921964,0.0213,2104.19
803,South Carolina,Kershaw County,104729.0,2010,61710,4635649,0.0133,1394.16
804,North Dakota,Ward County,167932.0,2010,62121,674715,0.0921,15461.5
805,Vermont,Rutland County,184088.0,2010,61586,625879,0.0984,18114.11
806,Tennessee,Tipton County,119663.0,2010,61065,6355311,0.0096,1149.78
807,Texas,Starr County,59790.0,2010,61134,25241971,0.0024,144.81
808,Ohio,Sandusky County,93663.0,2010,60885,11539336,0.0053,494.19
809,Ohio,Knox County,94758.0,2010,61090,11539336,0.0053,501.66
810,Washington,Mason County,190952.0,2010,60733,6742830,0.009,1719.91
811,North Carolina,Franklin County,157548.0,2010,60835,9574323,0.0064,1001.06
812,North Carolina,Stanly County,140706.0,2010,60579,9574323,0.0063,890.28
813,Oklahoma,Garfield County,69152.0,2010,60765,3759944,0.0162,1117.58
814,Georgia,Jackson County,155286.0,2010,60696,9711881,0.0062,970.49
815,Kentucky,Oldham County,240568.0,2010,60437,4348181,0.0139,3343.74
816,Illinois,Jackson County,134020.0,2010,60373,12840503,0.0047,630.13
817,South Carolina,Georgetown County,0.0,2010,60327,4635649,0.013,0.0
818,New Hampshire,Belknap County,207289.0,2010,60101,1316762,0.0456,9461.3
819,New York,Genesee County,104705.0,2010,59928,19399878,0.0031,323.44
820,North Carolina,Granville County,132798.0,2010,57673,9574323,0.006,799.94
821,Mississippi,Lowndes County,0.0,2010,59796,2970548,0.0201,0.0
822,Indiana,Warrick County,138791.0,2010,59839,6490432,0.0092,1279.59
823,Ohio,Huron County,104416.0,2010,59560,11539336,0.0052,538.94
824,Vermont,Washington County,206234.0,2010,59570,625879,0.0952,19628.97
825,North Carolina,Lenoir County,78047.0,2010,59488,9574323,0.0062,484.93
826,Michigan,Barry County,118712.0,2010,59095,9877510,0.006,710.23
827,Texas,Wise County,161275.0,2010,59115,25241971,0.0023,377.7
828,North Carolina,Haywood County,165172.0,2010,58932,9574323,0.0062,1016.67
829,Minnesota,Clay County,152407.0,2010,59147,5310828,0.0111,1697.37
830,Kentucky,Laurel County,98212.0,2010,58998,4348181,0.0136,1332.58
831,Washington,Walla Walla County,170141.0,2010,58915,6742830,0.0087,1486.59
832,Nebraska,Hall County,110962.0,2010,58805,1829542,0.0321,3566.53
833,North Carolina,Duplin County,73682.0,2010,58666,9574323,0.0061,451.48
834,Illinois,Whiteside County,84184.0,2010,58486,12840503,0.0046,383.44
835,Texas,Anderson County,81317.0,2010,58493,25241971,0.0023,188.44
836,Utah,Tooele County,175064.0,2010,58502,2775332,0.0211,3690.22
837,Missouri,Newton County,0.0,2010,58177,5995974,0.0097,0.0
838,North Carolina,Columbus County,80230.0,2010,57992,9574323,0.0061,485.96
839,Louisiana,Vermilion Parish,0.0,2010,58085,4544532,0.0128,0.0
840,North Carolina,Lee County,122496.0,2010,57877,9574323,0.006,740.49
841,Maine,Oxford County,149032.0,2010,57779,1327629,0.0435,6485.94
842,Tennessee,Carter County,90027.0,2010,57342,6355311,0.009,812.29
843,Pennsylvania,Pike County,173758.0,2010,57359,12711160,0.0045,784.08
844,Alabama,Blount County,177824.0,2010,57376,4785437,0.012,2132.06
845,Minnesota,Otter Tail County,0.0,2010,57288,5310828,0.0108,0.0
846,Wisconsin,Columbia County,157957.0,2010,56860,5690475,0.01,1578.33
847,Tennessee,Hawkins County,99047.0,2010,56870,6355311,0.0089,886.31
848,Ohio,Seneca County,87010.0,2010,56618,11539336,0.0049,426.92
849,Vermont,Windsor County,250131.0,2010,56600,625879,0.0904,22620.05
850,Indiana,Boone County,203271.0,2010,56916,6490432,0.0088,1782.53
851,North Carolina,Edgecombe County,60491.0,2010,56619,9574323,0.0059,357.72
852,West Virginia,Marion County,84287.0,2010,56548,1854239,0.0305,2570.47
853,Colorado,Garfield County,232604.0,2010,56072,5047349,0.0111,2584.04
854,Virginia,Franklin County,177425.0,2010,56176,8023699,0.007,1242.2
855,Tennessee,Cumberland County,138180.0,2010,56193,6355311,0.0088,1221.77
856,Colorado,Broomfield County,286413.0,2010,56226,5047349,0.0111,3190.56
857,Mississippi,Pearl River County,0.0,2010,55693,2970548,0.0187,0.0
858,Michigan,Tuscola County,75796.0,2010,55698,9877510,0.0056,427.4
859,Ohio,Pickaway County,135598.0,2010,55740,11539336,0.0048,655.0
860,Mississippi,Lamar County,0.0,2010,56104,2970548,0.0189,0.0
861,Kansas,Saline County,0.0,2010,55780,2858190,0.0195,0.0
862,New York,Fulton County,92058.0,2010,55455,19399878,0.0029,263.15
863,West Virginia,Putnam County,135360.0,2010,55620,1854239,0.03,4060.28
864,Alaska,Kenai Peninsula Borough,191260.0,2010,55554,713910,0.0778,14883.19
865,California,Tuolumne County,0.0,2010,55190,37319502,0.0015,0.0
866,South Carolina,Cherokee County,63707.0,2010,55535,4635649,0.012,763.21
867,Nevada,Carson City,161231.0,2010,54981,2702405,0.0203,3280.28
868,California,San Benito County,401186.0,2010,55516,37319502,0.0015,596.8
869,Georgia,Gordon County,105183.0,2010,55257,9711881,0.0057,598.45
870,Florida,Walton County,295528.0,2010,55217,18845537,0.0029,865.89
871,Pennsylvania,Venango County,65723.0,2010,54972,12711160,0.0043,284.23
872,Virginia,Washington County,130945.0,2010,54967,8023699,0.0069,897.05
873,Virginia,Campbell County,139519.0,2010,54901,8023699,0.0068,954.64
874,North Carolina,Halifax County,66848.0,2010,54470,9574323,0.0057,380.31
875,Texas,Hardin County,124626.0,2010,54784,25241971,0.0022,270.48
876,Alabama,Autauga County,178985.0,2010,54773,4785437,0.0114,2048.62
877,Alabama,Colbert County,0.0,2010,54524,4785437,0.0114,0.0
878,Maine,Hancock County,190144.0,2010,54350,1327629,0.0409,7784.05
879,Texas,Maverick County,90754.0,2010,54432,25241971,0.0022,195.7
880,Tennessee,Roane County,117071.0,2010,54169,6355311,0.0085,997.85
881,Illinois,Boone County,147180.0,2010,54101,12840503,0.0042,620.11
882,Virginia,Henry County,0.0,2010,54135,8023699,0.0067,0.0
883,Minnesota,Chisago County,167150.0,2010,53904,5310828,0.0101,1696.54
884,Illinois,Coles County,71561.0,2010,53866,12840503,0.0042,300.2
885,Arizona,Gila County,135628.0,2010,53561,6407172,0.0084,1133.79
886,West Virginia,Jefferson County,224952.0,2010,53609,1854239,0.0289,6503.72
887,Illinois,Ogle County,121561.0,2010,53414,12840503,0.0042,505.67
888,Texas,Rusk County,98272.0,2010,53361,25241971,0.0021,207.74
889,Alabama,Jackson County,90571.0,2010,53184,4785437,0.0111,1006.58
890,Ohio,Ashland County,111569.0,2010,53321,11539336,0.0046,515.54
891,Ohio,Darke County,108341.0,2010,52963,11539336,0.0046,497.26
892,Alabama,Russell County,0.0,2010,53321,4785437,0.0111,0.0
893,Illinois,Knox County,59670.0,2010,52912,12840503,0.0041,245.88
894,Pennsylvania,Wayne County,140313.0,2010,52868,12711160,0.0042,583.59
895,Tennessee,Coffee County,118820.0,2010,52770,6355311,0.0083,986.6
896,Missouri,Johnson County,127284.0,2010,52686,5995974,0.0088,1118.43
897,Texas,Van Zandt County,111425.0,2010,52579,25241971,0.0021,232.1
898,Missouri,Lincoln County,151394.0,2010,52674,5995974,0.0088,1329.98
899,Oklahoma,Grady County,104583.0,2010,52440,3759944,0.0139,1458.62
900,Wisconsin,Waupaca County,122209.0,2010,52399,5690475,0.0092,1125.32
901,Louisiana,Vernon Parish,123560.0,2010,52742,4544532,0.0116,1433.99
902,Ohio,Union County,187486.0,2010,52464,11539336,0.0045,852.41
903,Michigan,Cass County,90484.0,2010,52247,9877510,0.0053,478.61
904,Missouri,Pulaski County,148007.0,2010,52859,5995974,0.0088,1304.79
905,Tennessee,McMinn County,0.0,2010,52176,6355311,0.0082,0.0
906,Georgia,Effingham County,151945.0,2010,52464,9711881,0.0054,820.81
907,Maine,Somerset County,109134.0,2010,52216,1327629,0.0393,4292.27
908,North Carolina,Pender County,219849.0,2010,52415,9574323,0.0055,1203.57
909,Colorado,Eagle County,530958.0,2010,52099,5047349,0.0103,5480.58
910,Nevada,Lyon County,134459.0,2010,52045,2702405,0.0193,2589.52
911,Missouri,Taney County,142686.0,2010,51902,5995974,0.0087,1235.11
912,New York,Franklin County,81855.0,2010,51645,19399878,0.0027,217.91
913,Minnesota,Winona County,0.0,2010,51435,5310828,0.0097,0.0
914,Maryland,Worcester County,257581.0,2010,51500,5788645,0.0089,2291.63
915,Tennessee,Jefferson County,121405.0,2010,51714,6355311,0.0081,987.89
916,Colorado,La Plata County,329122.0,2010,51411,5047349,0.0102,3352.35
917,Wisconsin,Grant County,99352.0,2010,51233,5690475,0.009,894.49
918,Texas,Hood County,174666.0,2010,51268,25241971,0.002,354.76
919,New York,Tioga County,101156.0,2010,51008,19399878,0.0026,265.97
920,North Carolina,Watauga County,231126.0,2010,50972,9574323,0.0053,1230.47
921,Oklahoma,Washington County,105324.0,2010,51069,3759944,0.0136,1430.55
922,Arkansas,Crittenden County,94412.0,2010,50958,2921964,0.0174,1646.51
923,Texas,Cherokee County,90259.0,2010,50941,25241971,0.002,182.15
924,Georgia,Camden County,144591.0,2010,50661,9711881,0.0052,754.24
925,Illinois,Henry County,88322.0,2010,50452,12840503,0.0039,347.03
926,New York,Chenango County,84707.0,2010,50399,19399878,0.0026,220.06
927,Alabama,Dale County,83509.0,2010,50394,4785437,0.0105,879.41
928,New York,Montgomery County,91886.0,2010,50307,19399878,0.0026,238.28
929,Illinois,Grundy County,167602.0,2010,50154,12840503,0.0039,654.64
930,Indiana,Dearborn County,154170.0,2010,50083,6490432,0.0077,1189.64
931,Utah,Box Elder County,160008.0,2010,50175,2775332,0.0181,2892.77
932,Alabama,Coffee County,0.0,2010,50208,4785437,0.0105,0.0
933,Rhode Island,Bristol County,249678.0,2010,49818,1053959,0.0473,11801.65
934,Texas,Lamar County,73965.0,2010,49820,25241971,0.002,145.98
935,Pennsylvania,Bedford County,105531.0,2010,49699,12711160,0.0039,412.61
936,Florida,Jackson County,69340.0,2010,49648,18845537,0.0026,182.67
937,Tennessee,Gibson County,70401.0,2010,49731,6355311,0.0078,550.9
938,Tennessee,Dickson County,125340.0,2010,49684,6355311,0.0078,979.87
939,Texas,Kerr County,200442.0,2010,49643,25241971,0.002,394.21
940,Kentucky,Boyd County,70746.0,2010,49602,4348181,0.0114,807.04
941,Indiana,Henry County,81608.0,2010,49530,6490432,0.0076,622.77
942,Ohio,Shelby County,114586.0,2010,49349,11539336,0.0043,490.04
943,Oregon,Columbia County,197138.0,2010,49355,3837491,0.0129,2535.44
944,New York,Cortland County,97917.0,2010,49279,19399878,0.0025,248.73
945,Kentucky,Franklin County,125666.0,2010,49253,4348181,0.0113,1423.45
946,New York,Greene County,168578.0,2010,49139,19399878,0.0025,427.0
947,Iowa,Clinton County,126472.0,2010,49096,3050745,0.0161,2035.33
948,Wisconsin,Calumet County,116046.0,2010,49040,5690475,0.0086,1000.07
949,New York,Allegany County,57342.0,2010,48971,19399878,0.0025,144.75
950,Texas,Val Verde County,90983.0,2010,48971,25241971,0.0019,176.51
951,Nevada,Elko County,137000.0,2010,49088,2702405,0.0182,2488.54
952,Mississippi,Warren County,0.0,2010,48834,2970548,0.0164,0.0
953,Kentucky,Jessamine County,151223.0,2010,48682,4348181,0.0112,1693.08
954,Tennessee,Loudon County,189349.0,2010,48710,6355311,0.0077,1451.26
955,Michigan,Newaygo County,91675.0,2010,48373,9877510,0.0049,448.96
956,Georgia,Laurens County,79216.0,2010,48384,9711881,0.005,394.65
957,New Mexico,Curry County,0.0,2010,48971,2064552,0.0237,0.0
958,New York,Delaware County,124697.0,2010,47888,19399878,0.0025,307.81
959,New Hampshire,Carroll County,215165.0,2010,47826,1316762,0.0363,7814.99
960,Illinois,Macoupin County,78276.0,2010,47797,12840503,0.0037,291.37
961,North Carolina,Beaufort County,123572.0,2010,47822,9574323,0.005,617.22
962,Vermont,Franklin County,199473.0,2010,47821,625879,0.0764,15240.96
963,Texas,Navarro County,83467.0,2010,47869,25241971,0.0019,158.29
964,Illinois,Stephenson County,92243.0,2010,47606,12840503,0.0037,341.99
965,Mississippi,Oktibbeha County,156324.0,2010,47723,2970548,0.0161,2511.41
966,Oklahoma,Carter County,67343.0,2010,47813,3759944,0.0127,856.36
967,Indiana,Noble County,0.0,2010,47454,6490432,0.0073,0.0
968,Oklahoma,Osage County,92669.0,2010,47498,3759944,0.0126,1170.65
969,Arizona,Santa Cruz County,99922.0,2010,47415,6407172,0.0074,739.45
970,North Carolina,Stokes County,108704.0,2010,47344,9574323,0.0049,537.53
971,Mississippi,Lafayette County,159718.0,2010,47568,2970548,0.016,2557.6
972,Kentucky,Scott County,154905.0,2010,47274,4348181,0.0109,1684.15
973,Louisiana,Washington Parish,89610.0,2010,47089,4544532,0.0104,928.51
974,Indiana,Marshall County,124925.0,2010,47000,6490432,0.0072,904.64
975,Nevada,Douglas County,240517.0,2010,47037,2702405,0.0174,4186.34
976,Oklahoma,Cherokee County,93205.0,2010,47126,3759944,0.0125,1168.2
977,North Carolina,Hoke County,129585.0,2010,47496,9574323,0.005,642.84
978,Kentucky,Hopkins County,79790.0,2010,46841,4348181,0.0108,859.54
979,Colorado,Fremont County,0.0,2010,46837,5047349,0.0093,0.0
980,Louisiana,Lincoln Parish,122613.0,2010,46850,4544532,0.0103,1264.03
981,South Carolina,Chesterfield County,72858.0,2010,46614,4635649,0.0101,732.63
982,Virginia,Culpeper County,263118.0,2010,46838,8023699,0.0058,1535.94
983,Michigan,Hillsdale County,90883.0,2010,46648,9877510,0.0047,429.21
984,Pennsylvania,Mifflin County,0.0,2010,46641,12711160,0.0037,0.0
985,North Carolina,Richmond County,57284.0,2010,46635,9574323,0.0049,279.02
986,Oklahoma,Kay County,53300.0,2010,46430,3759944,0.0123,658.18
987,Arkansas,Mississippi County,78099.0,2010,46399,2921964,0.0159,1240.16
988,Florida,Gadsden County,74201.0,2010,47794,18845537,0.0025,188.18
989,Kentucky,Henderson County,98744.0,2010,46260,4348181,0.0106,1050.53
990,Iowa,Warren County,168149.0,2010,46340,3050745,0.0152,2554.14
991,Minnesota,Goodhue County,178789.0,2010,46210,5310828,0.0087,1555.66
992,Utah,Iron County,175266.0,2010,46263,2775332,0.0167,2921.57
993,Indiana,Lawrence County,85636.0,2010,46102,6490432,0.0071,608.28
994,Wyoming,Campbell County,237700.0,2010,46245,564487,0.0819,19473.32
995,Nebraska,Buffalo County,155415.0,2010,46175,1829542,0.0252,3922.45
996,West Virginia,Fayette County,0.0,2010,46030,1854239,0.0248,0.0
997,Oregon,Lincoln County,195879.0,2010,45999,3837491,0.012,2347.95
998,Texas,Medina County,150415.0,2010,46114,25241971,0.0018,274.79
999,Pennsylvania,Perry County,151303.0,2010,45921,12711160,0.0036,546.61
1000,Ohio,Auglaize County,110807.0,2010,45898,11539336,0.004,440.74
1001,Pennsylvania,Huntingdon County,102527.0,2010,45994,12711160,0.0036,370.98
1002,Wisconsin,Barron County,126347.0,2010,45814,5690475,0.0081,1017.22
1003,Ohio,Logan County,107975.0,2010,45743,11539336,0.004,428.02
1004,Oklahoma,Pittsburg County,75619.0,2010,45795,3759944,0.0122,921.02
1005,Georgia,Baldwin County,105590.0,2010,45704,9711881,0.0047,496.91
1006,Idaho,Bingham County,0.0,2010,45765,1570746,0.0291,0.0
1007,California,Calaveras County,232871.0,2010,45468,37319502,0.0012,283.72
1008,Georgia,Colquitt County,65419.0,2010,45634,9711881,0.0047,307.39
1009,North Carolina,Vance County,80438.0,2010,45289,9574323,0.0047,380.49
1010,Texas,Polk County,75364.0,2010,45446,25241971,0.0018,135.69
1011,Michigan,Branch County,80754.0,2010,45174,9877510,0.0046,369.32
1012,Pennsylvania,Jefferson County,69025.0,2010,45163,12711160,0.0036,245.25
1013,Missouri,Phelps County,0.0,2010,45294,5995974,0.0076,0.0
1014,Virginia,Tazewell County,78997.0,2010,45117,8023699,0.0056,444.2
1015,Tennessee,Bedford County,112735.0,2010,45078,6355311,0.0071,799.63
1016,Minnesota,Itasca County,114485.0,2010,45037,5310828,0.0085,970.86
1017,Oklahoma,Stephens County,65149.0,2010,45100,3759944,0.012,781.45
1018,North Carolina,McDowell County,0.0,2010,45102,9574323,0.0047,0.0
1019,Pennsylvania,Union County,0.0,2010,45001,12711160,0.0035,0.0
1020,Texas,Atascosa County,109292.0,2010,44965,25241971,0.0018,194.69
1021,California,Siskiyou County,146477.0,2010,44938,37319502,0.0012,176.38
1022,Ohio,Brown County,105639.0,2010,44863,11539336,0.0039,410.71
1023,South Dakota,Lincoln County,0.0,2010,45183,816166,0.0554,0.0
1024,Washington,Whitman County,156110.0,2010,44796,6742830,0.0066,1037.12
1025,Georgia,Thomas County,106719.0,2010,44747,9711881,0.0046,491.7
1026,Wisconsin,Monroe County,117510.0,2010,44813,5690475,0.0079,925.4
1027,Tennessee,Monroe County,100206.0,2010,44610,6355311,0.007,703.38
1028,Vermont,Windham County,222309.0,2010,44502,625879,0.0711,15806.88
1029,West Virginia,Ohio County,84216.0,2010,44472,1854239,0.024,2019.83
1030,Minnesota,Beltrami County,122248.0,2010,44572,5310828,0.0084,1025.99
1031,Indiana,Shelby County,110867.0,2010,44297,6490432,0.0068,756.66
1032,Missouri,Callaway County,119789.0,2010,44310,5995974,0.0074,885.24
1033,Wisconsin,Polk County,150462.0,2010,44156,5690475,0.0078,1167.53
1034,Wisconsin,Douglas County,115834.0,2010,44134,5690475,0.0078,898.38
1035,Iowa,Cerro Gordo County,103016.0,2010,44097,3050745,0.0145,1489.04
1036,Missouri,Camden County,0.0,2010,44078,5995974,0.0074,0.0
1037,Nevada,Nye County,135260.0,2010,43844,2702405,0.0162,2194.47
1038,Mississippi,Hancock County,0.0,2010,44089,2970548,0.0148,0.0
1039,Wisconsin,Dunn County,139490.0,2010,43887,5690475,0.0077,1075.8
1040,Alabama,Dallas County,51279.0,2010,43854,4785437,0.0092,469.92
1041,Wyoming,Sweetwater County,0.0,2010,43574,564487,0.0772,0.0
1042,Ohio,Crawford County,0.0,2010,43754,11539336,0.0038,0.0
1043,New Hampshire,Sullivan County,183739.0,2010,43745,1316762,0.0332,6104.11
1044,Alabama,Chilton County,107501.0,2010,43653,4785437,0.0091,980.63
1045,Ohio,Highland County,89505.0,2010,43621,11539336,0.0038,338.35
1046,Washington,Stevens County,158775.0,2010,43472,6742830,0.0064,1023.65
1047,Arkansas,Miller County,79990.0,2010,43562,2921964,0.0149,1192.53
1048,Pennsylvania,McKean County,55155.0,2010,43345,12711160,0.0034,188.08
1049,Kentucky,Nelson County,125667.0,2010,43629,4348181,0.01,1260.92
1050,Ohio,Madison County,133499.0,2010,43434,11539336,0.0038,502.49
1051,Pennsylvania,Susquehanna County,119197.0,2010,43342,12711160,0.0034,406.43
1052,Texas,Waller County,155583.0,2010,43519,25241971,0.0017,268.24
1053,Michigan,Sanilac County,83876.0,2010,43087,9877510,0.0044,365.88
1054,Georgia,Habersham County,121805.0,2010,43061,9711881,0.0044,540.06
1055,Texas,Wilson County,192114.0,2010,43051,25241971,0.0017,327.66
1056,New York,Orleans County,85572.0,2010,42851,19399878,0.0022,189.01
1057,Michigan,Mecosta County,91644.0,2010,42853,9877510,0.0043,397.59
1058,Missouri,Butler County,96989.0,2010,42786,5995974,0.0071,692.09
1059,Texas,Burnet County,181165.0,2010,42762,25241971,0.0017,306.91
1060,Iowa,Muscatine County,115891.0,2010,42803,3050745,0.014,1625.99
1061,Ohio,Fulton County,119085.0,2010,42629,11539336,0.0037,439.93
1062,West Virginia,Wayne County,81268.0,2010,42466,1854239,0.0229,1861.21
1063,Michigan,Gratiot County,66908.0,2010,42432,9877510,0.0043,287.42
1064,Oklahoma,Bryan County,86284.0,2010,42580,3759944,0.0113,977.13
1065,Oklahoma,Sequoyah County,72242.0,2010,42509,3759944,0.0113,816.75
1066,Indiana,Jackson County,107899.0,2010,42586,6490432,0.0066,707.96
1067,Ohio,Holmes County,136924.0,2010,42473,11539336,0.0037,503.98
1068,Georgia,Coffee County,79394.0,2010,42728,9711881,0.0044,349.3
1069,Ohio,Preble County,112483.0,2010,42170,11539336,0.0037,411.06
1070,Minnesota,Kandiyohi County,134581.0,2010,42233,5310828,0.008,1070.22
1071,Missouri,Pettis County,63257.0,2010,42274,5995974,0.0071,445.99
1072,Kentucky,Barren County,96882.0,2010,42116,4348181,0.0097,938.39
1073,New York,Wyoming County,96000.0,2010,42126,19399878,0.0022,208.46
1074,Arkansas,Greene County,85700.0,2010,42201,2921964,0.0144,1237.74
1075,Kentucky,Shelby County,158962.0,2010,42189,4348181,0.0097,1542.36
1076,Louisiana,Avoyelles Parish,90405.0,2010,42106,4544532,0.0093,837.62
1077,Ohio,Clinton County,109467.0,2010,41922,11539336,0.0036,397.69
1078,Virginia,Shenandoah County,188328.0,2010,42052,8023699,0.0052,987.02
1079,Pennsylvania,Tioga County,107356.0,2010,41974,12711160,0.0033,354.5
1080,Texas,Wood County,99008.0,2010,41977,25241971,0.0017,164.65
1081,Wisconsin,Shawano County,110915.0,2010,41939,5690475,0.0074,817.45
1082,Indiana,Dubois County,120754.0,2010,41905,6490432,0.0065,779.64
1083,Tennessee,Lawrence County,82414.0,2010,41967,6355311,0.0066,544.22
1084,Oklahoma,Logan County,146847.0,2010,42056,3759944,0.0112,1642.52
1085,Pennsylvania,Warren County,0.0,2010,41771,12711160,0.0033,0.0
1086,Wisconsin,Marinette County,89846.0,2010,41663,5690475,0.0073,657.81
1087,Arkansas,Union County,64713.0,2010,41573,2921964,0.0142,920.72
1088,Alabama,Tallapoosa County,118839.0,2010,41476,4785437,0.0087,1029.99
1089,Florida,Suwannee County,86020.0,2010,42328,18845537,0.0022,193.21
1090,Arkansas,Baxter County,110338.0,2010,41510,2921964,0.0142,1567.48
1091,Oklahoma,Delaware County,107803.0,2010,41562,3759944,0.0111,1191.64
1092,Georgia,Polk County,80489.0,2010,41547,9711881,0.0043,344.33
1093,Virginia,Wise County,65459.0,2010,41572,8023699,0.0052,339.15
1094,Ohio,Ottawa County,139665.0,2010,41359,11539336,0.0036,500.58
1095,Texas,Wharton County,99223.0,2010,41281,25241971,0.0016,162.27
1096,Colorado,Montrose County,193163.0,2010,41186,5047349,0.0082,1576.2
1097,Oklahoma,Mayes County,85836.0,2010,41314,3759944,0.011,943.16
1098,North Carolina,Davie County,159182.0,2010,41254,9574323,0.0043,685.89
1099,Louisiana,Webster Parish,79862.0,2010,41199,4544532,0.0091,724.0
1100,Washington,Okanogan County,144547.0,2010,41229,6742830,0.0061,883.83
1101,Tennessee,Franklin County,124065.0,2010,40959,6355311,0.0064,799.58
1102,Wisconsin,Pierce County,182298.0,2010,41089,5690475,0.0072,1316.31
1103,Washington,Kittitas County,213808.0,2010,40990,6742830,0.0061,1299.75
1104,Idaho,Bonner County,240881.0,2010,40902,1570746,0.026,6272.51
1105,Texas,Jim Wells County,70632.0,2010,40894,25241971,0.0016,114.43
1106,Ohio,Mercer County,109123.0,2010,40788,11539336,0.0035,385.72
1107,Florida,Levy County,112037.0,2010,40720,18845537,0.0022,242.08
1108,Tennessee,Campbell County,88113.0,2010,40735,6355311,0.0064,564.77
1109,North Carolina,Pasquotank County,145031.0,2010,40626,9574323,0.0042,615.4
1110,Iowa,Marshall County,98341.0,2010,40722,3050745,0.0133,1312.68
1111,Mississippi,Pike County,83625.0,2010,40441,2970548,0.0136,1138.47
1112,Missouri,Howell County,95877.0,2010,40552,5995974,0.0068,648.44
1113,Iowa,Des Moines County,87718.0,2010,40241,3050745,0.0132,1157.05
1114,North Carolina,Jackson County,232604.0,2010,40368,9574323,0.0042,980.72
1115,New Mexico,Rio Arriba County,0.0,2010,40286,2064552,0.0195,0.0
1116,Montana,Ravalli County,286188.0,2010,40324,990697,0.0407,11648.61
1117,Wyoming,Fremont County,185746.0,2010,40198,564487,0.0712,13227.26
1118,Georgia,Tift County,95410.0,2010,40251,9711881,0.0041,395.43
1119,Ohio,Champaign County,108126.0,2010,40078,11539336,0.0035,375.54
1120,Ohio,Guernsey County,72699.0,2010,40155,11539336,0.0035,252.98
1121,Oklahoma,Okmulgee County,53661.0,2010,40082,3759944,0.0107,572.04
1122,Florida,Okeechobee County,130521.0,2010,40025,18845537,0.0021,277.21
1123,Pennsylvania,Clarion County,0.0,2010,39923,12711160,0.0031,0.0
1124,Tennessee,Warren County,83993.0,2010,39858,6355311,0.0063,526.77
1125,Maine,Knox County,210775.0,2010,39730,1327629,0.0299,6307.55
1126,Pennsylvania,Snyder County,128337.0,2010,39708,12711160,0.0031,400.91
1127,Georgia,Murray County,97287.0,2010,39533,9711881,0.0041,396.01
1128,Louisiana,Natchitoches Parish,0.0,2010,39528,4544532,0.0087,0.0
1129,Illinois,Franklin County,0.0,2010,40035,12840503,0.0031,0.0
1130,North Carolina,Person County,109896.0,2010,39411,9574323,0.0041,452.37
1131,Kentucky,Floyd County,59757.0,2010,39930,4348181,0.0092,548.76
1132,New York,Essex County,118545.0,2010,39360,19399878,0.002,240.51
