,STNAME,CTYNAME,PRICE,YEAR,POPULATION,STATEPOP,POPWEIGHT,W_PRICE
72,Texas,Hidalgo County,84505.0,2010,779149,25241971,0.0309,2608.43
73,New York,Monroe County,128788.0,2010,744580,19399878,0.0384,4942.97
74,Massachusetts,Essex County,342540.0,2010,745461,6566307,0.1135,38887.95
75,Kentucky,Jefferson County,138331.0,2010,742054,4348181,0.1707,23607.36
76,Oregon,Multnomah County,251732.0,2010,737276,3837491,0.1921,48363.88
77,Massachusetts,Suffolk County,354768.0,2010,725772,6566307,0.1105,39212.4
78,Oklahoma,Oklahoma County,120668.0,2010,720762,3759944,0.1917,23131.44
79,California,San Mateo County,704391.0,2010,719699,37319502,0.0193,13584.04
80,Washington,Snohomish County,273628.0,2010,715500,6742830,0.1061,29035.41
81,Illinois,Lake County,214476.0,2010,704170,12840503,0.0548,11761.81
82,Georgia,Cobb County,177284.0,2010,689495,9711881,0.071,12586.28
83,California,San Joaquin County,180977.0,2010,687127,37319502,0.0184,3332.15
84,Illinois,Will County,190295.0,2010,678824,12840503,0.0529,10060.11
85,Missouri,Jackson County,110768.0,2010,674845,5995974,0.1125,12466.9
86,Massachusetts,Norfolk County,387883.0,2010,673019,6566307,0.1025,39756.38
87,Texas,Denton County,196668.0,2010,666760,25241971,0.0264,5194.93
88,New Mexico,Bernalillo County,181905.0,2010,663923,2064552,0.3216,58497.39
89,Alabama,Jefferson County,115119.0,2010,658215,4785437,0.1375,15834.09
90,New Jersey,Hudson County,342647.0,2010,635652,8799446,0.0722,24752.04
91,New Jersey,Monmouth County,390585.0,2010,630461,8799446,0.0716,27984.56
92,Tennessee,Davidson County,170361.0,2010,627746,6355311,0.0988,16827.41
93,Rhode Island,Providence County,211780.0,2010,627838,1053959,0.5957,126156.27
94,Pennsylvania,Bucks County,302194.0,2010,625385,12711160,0.0492,14867.85
95,Colorado,El Paso County,206517.0,2010,627031,5047349,0.1242,25655.56
96,Florida,Lee County,142794.0,2010,620449,18845537,0.0329,4701.19
97,Oklahoma,Tulsa County,131782.0,2010,604973,3759944,0.1609,21203.65
98,Michigan,Kent County,118873.0,2010,602975,9877510,0.061,7256.63
99,Florida,Polk County,114886.0,2010,603102,18845537,0.032,3676.63
100,Colorado,Denver County,243146.0,2010,603359,5047349,0.1195,29065.62
101,Texas,Fort Bend County,200578.0,2010,590253,25241971,0.0234,4690.27
102,New Jersey,Ocean County,280299.0,2010,577564,8799446,0.0656,18397.82
103,Colorado,Arapahoe County,217304.0,2010,574747,5047349,0.1139,24744.64
104,Pennsylvania,Delaware County,216470.0,2010,558981,12711160,0.044,9519.4
105,Massachusetts,Bristol County,270355.0,2010,549166,6566307,0.0836,22610.85
106,Kansas,Johnson County,217851.0,2010,545655,2858190,0.1909,41589.78
107,Florida,Brevard County,127859.0,2010,543965,18845537,0.0289,3690.57
108,Ohio,Summit County,119385.0,2010,541645,11539336,0.0469,5603.81
109,Delaware,New Castle County,229566.0,2010,538752,899593,0.5989,137483.44
110,Maryland,Anne Arundel County,326794.0,2010,539284,5788645,0.0932,30444.91
111,New Jersey,Union County,340178.0,2010,537369,8799446,0.0611,20774.16
112,Ohio,Montgomery County,96207.0,2010,535597,11539336,0.0464,4465.44
113,Colorado,Jefferson County,252438.0,2010,535548,5047349,0.1061,26784.89
114,Oregon,Washington County,259429.0,2010,531638,3837491,0.1385,35940.75
115,Pennsylvania,Lancaster County,195772.0,2010,520319,12711160,0.0409,8013.74
116,Nebraska,Douglas County,137823.0,2010,518574,1829542,0.2834,39065.2
117,Utah,Utah County,215602.0,2010,519998,2775332,0.1874,40396.11
118,Illinois,Kane County,194321.0,2010,516068,12840503,0.0402,7809.88
119,California,Stanislaus County,152934.0,2010,515145,37319502,0.0138,2111.05
120,New Jersey,Camden County,189526.0,2010,513275,8799446,0.0583,11055.12
121,Minnesota,Ramsey County,180575.0,2010,509387,5310828,0.0959,17319.81
122,New Jersey,Passaic County,328829.0,2010,502023,8799446,0.0571,18760.24
123,Pennsylvania,Chester County,320782.0,2010,499925,12711160,0.0393,12616.23
124,Kansas,Sedgwick County,124032.0,2010,499128,2858190,0.1746,21659.81
125,Indiana,Lake County,130905.0,2010,495947,6490432,0.0764,10002.72
126,Massachusetts,Plymouth County,314793.0,2010,495926,6566307,0.0755,23775.01
127,Florida,Volusia County,128395.0,2010,494440,18845537,0.0262,3368.63
128,New Jersey,Morris County,422117.0,2010,492617,8799446,0.056,23631.26
129,North Carolina,Guilford County,139481.0,2010,489618,9574323,0.0511,7132.87
130,Wisconsin,Dane County,216951.0,2010,489218,5690475,0.086,18651.58
131,California,Sonoma County,387545.0,2010,484755,37319502,0.013,5033.95
132,Washington,Spokane County,176018.0,2010,472081,6742830,0.07,12323.42
133,New York,Richmond County,409332.0,2010,469615,19399878,0.0242,9908.75
134,New York,Onondaga County,128812.0,2010,467533,19399878,0.0241,3104.34
135,Florida,Pasco County,123603.0,2010,465487,18845537,0.0247,3053.01
136,Massachusetts,Hampden County,190804.0,2010,464237,6566307,0.0707,13489.82
137,Texas,Montgomery County,186828.0,2010,459208,25241971,0.0182,3398.82
138,South Carolina,Greenville County,157137.0,2010,452697,4635649,0.0977,15345.31
139,New Jersey,Burlington County,236749.0,2010,449129,8799446,0.051,12083.81
140,California,Tulare County,141832.0,2010,442969,37319502,0.0119,1683.49
141,Ohio,Lucas County,81803.0,2010,441434,11539336,0.0383,3129.35
142,Colorado,Adams County,185885.0,2010,443691,5047349,0.0879,16340.36
143,Louisiana,East Baton Rouge Parish,177849.0,2010,440912,4544532,0.097,17254.97
144,Pennsylvania,York County,173395.0,2010,435413,12711160,0.0343,5939.54
145,Louisiana,Jefferson Parish,179042.0,2010,432610,4544532,0.0952,17043.64
146,Tennessee,Knox County,162558.0,2010,432938,6355311,0.0681,11073.81
147,Iowa,Polk County,148690.0,2010,432352,3050745,0.1417,21072.37
148,Michigan,Genesee County,83137.0,2010,424953,9877510,0.043,3576.74
149,Washington,Clark County,215401.0,2010,426704,6742830,0.0633,13631.14
150,California,Santa Barbara County,457654.0,2010,424231,37319502,0.0114,5202.4
151,Florida,Seminole County,160559.0,2010,423051,18845537,0.0224,3604.28
152,Texas,Williamson County,189719.0,2010,426287,25241971,0.0169,3203.98
153,Nevada,Washoe County,186017.0,2010,421954,2702405,0.1561,29044.73
154,California,Monterey County,337388.0,2010,416373,37319502,0.0112,3764.23
155,California,Solano County,232988.0,2010,413967,37319502,0.0111,2584.42
156,Alabama,Mobile County,119522.0,2010,413315,4785437,0.0864,10323.04
157,Pennsylvania,Berks County,166436.0,2010,412039,12711160,0.0324,5395.11
158,Texas,Cameron County,98337.0,2010,407630,25241971,0.0161,1588.03
159,Virginia,Prince William County,292974.0,2010,406169,8023699,0.0506,14830.69
160,New Hampshire,Hillsborough County,232918.0,2010,401055,1316762,0.3046,70941.39
161,Minnesota,Dakota County,205304.0,2010,399211,5310828,0.0752,15432.55
162,Idaho,Ada County,165692.0,2010,393354,1570746,0.2504,41493.41
163,Wisconsin,Waukesha County,235710.0,2010,390028,5690475,0.0685,16155.68
164,South Carolina,Richland County,147514.0,2010,385735,4635649,0.0832,12274.72
165,Arkansas,Pulaski County,135475.0,2010,383538,2921964,0.1313,17782.5
166,Florida,Sarasota County,181375.0,2010,379930,18845537,0.0202,3656.56
167,Oregon,Clackamas County,288781.0,2010,376788,3837491,0.0982,28354.26
168,Arizona,Pinal County,119996.0,2010,379094,6407172,0.0592,7099.82
169,Ohio,Stark County,109899.0,2010,375372,11539336,0.0325,3574.99
