,STNAME,CTYNAME,PRICE,YEAR,POPULATION,STATEPOP,POPWEIGHT,W_PRICE,Percent_change,New_percent_change
22072,Alabama,Madison County,185179.0,2018,367004,4887681,0.0750875517448868,13904.64,0.0437,1.0437
24808,Alabama,Madison County,195957.0,2019,372909,4903185,0.07605444216361405,14903.4,0.0582,1.0582
1710,Alabama,Marengo County,0.0,2010,20956,4785437,0.004379119399126976,0.0,0.0,1.0
4446,Alabama,Marengo County,0.0,2011,20661,4799069,0.004305210031362333,0.0,0.0,1.0
7182,Alabama,Marengo County,0.0,2012,20375,4815588,0.004231051327480673,0.0,0.0,1.0
9918,Alabama,Marengo County,0.0,2013,20119,4830081,0.004165354576869415,0.0,0.0,1.0
12654,Alabama,Marengo County,75081.0,2014,19986,4841799,0.0041278045618994095,309.92,0.0,1.0
15390,Alabama,Marengo County,78245.0,2015,19766,4852347,0.004073492683025349,318.73,0.0421,1.0421
18126,Alabama,Marengo County,80453.0,2016,19525,4863525,0.004014577903886585,322.98,0.0282,1.0282
20862,Alabama,Marengo County,86905.0,2017,19396,4874486,0.003979086205191685,345.8,0.0802,1.0802
23598,Alabama,Marengo County,91095.0,2018,19056,4887681,0.003898781446661515,355.16,0.0482,1.0482
26334,Alabama,Marengo County,92179.0,2019,18863,4903185,0.00384709122743686,354.62,0.0119,1.0119
1355,Alabama,Marion County,0.0,2010,30816,4785437,0.006439537287817184,0.0,0.0,1.0
4091,Alabama,Marion County,72509.0,2011,30652,4799069,0.006387072159204212,463.12,0.0,1.0
6827,Alabama,Marion County,73049.0,2012,30484,4815588,0.0063302757627936605,462.42,0.0074,1.0074
9563,Alabama,Marion County,73116.0,2013,30224,4830081,0.006257451997181827,457.52,0.0009,1.0009
12299,Alabama,Marion County,75466.0,2014,30199,4841799,0.006237144499389586,470.69,0.0321,1.0321
15035,Alabama,Marion County,76018.0,2015,30119,4852347,0.006207099368614816,471.85,0.0073,1.0073
17771,Alabama,Marion County,76489.0,2016,29960,4863525,0.006160141049958621,471.18,0.0062,1.0062
20507,Alabama,Marion County,78823.0,2017,29792,4874486,0.006111823892816596,481.75,0.0305,1.0305
23243,Alabama,Marion County,82746.0,2018,29750,4887681,0.006086731110315915,503.65,0.0498,1.0498
25979,Alabama,Marion County,86830.0,2019,29709,4903185,0.006059122794673258,526.11,0.0494,1.0493999999999999
588,Alabama,Marshall County,97671.0,2010,93122,4785437,0.019459455844889402,1900.62,0.0,1.0
3324,Alabama,Marshall County,92984.0,2011,93895,4799069,0.019565253177230835,1819.26,-0.048,0.952
6060,Alabama,Marshall County,96563.0,2012,94260,4815588,0.0195739336504701,1890.12,0.0385,1.0385
8796,Alabama,Marshall County,98437.0,2013,94356,4830081,0.01953507611984147,1922.97,0.0194,1.0194
11532,Alabama,Marshall County,102860.0,2014,94257,4841799,0.019467350875160244,2002.41,0.0449,1.0449
14268,Alabama,Marshall County,111189.0,2015,94585,4852347,0.019492629030858674,2167.37,0.081,1.081
17004,Alabama,Marshall County,113839.0,2016,95113,4863525,0.019556391711772838,2226.28,0.0238,1.0238
19740,Alabama,Marshall County,118414.0,2017,95572,4874486,0.019606580057876872,2321.69,0.0402,1.0402
22476,Alabama,Marshall County,124766.0,2018,96170,4887681,0.01967599767660778,2454.9,0.0536,1.0536
25212,Alabama,Marshall County,132784.0,2019,96774,4903185,0.019736966889888918,2620.75,0.0643,1.0643
156,Alabama,Mobile County,119522.0,2010,413315,4785437,0.08636933262312303,10323.04,0.0,1.0
2892,Alabama,Mobile County,107733.0,2011,413068,4799069,0.08607252781737458,9272.85,-0.0986,0.9014
5628,Alabama,Mobile County,103798.0,2012,413816,4815588,0.08593260054639226,8919.63,-0.0365,0.9635
8364,Alabama,Mobile County,104700.0,2013,413918,4830081,0.08569587135288208,8972.36,0.0087,1.0087
11100,Alabama,Mobile County,106244.0,2014,414149,4841799,0.08553618190263577,9087.71,0.0147,1.0147
13836,Alabama,Mobile County,108282.0,2015,414462,4852347,0.08541474878033249,9248.88,0.0192,1.0192
16572,Alabama,Mobile County,113310.0,2016,414945,4863525,0.08531774792974231,9667.35,0.0464,1.0464
19308,Alabama,Mobile County,117342.0,2017,414045,4874486,0.0849412635506595,9967.18,0.0356,1.0356
22044,Alabama,Mobile County,122488.0,2018,413908,4887681,0.08468392270281141,10372.76,0.0439,1.0439
24780,Alabama,Mobile County,128559.0,2019,413210,4903185,0.0842737934628206,10834.15,0.0496,1.0496
1617,Alabama,Monroe County,0.0,2010,23005,4785437,0.0048072934613913,0.0,0.0,1.0
4353,Alabama,Monroe County,0.0,2011,22796,4799069,0.004750087985815582,0.0,0.0,1.0
7089,Alabama,Monroe County,0.0,2012,22581,4815588,0.004689146995133305,0.0,0.0,1.0
9825,Alabama,Monroe County,0.0,2013,22170,4830081,0.0045899851368952195,0.0,0.0,1.0
