,STNAME,CTYNAME,PRICE,YEAR,POPULATION,STATEPOP,POPWEIGHT,W_PRICE,Percent_change,New_percent_change
21948,California,Ventura County,614199.0,2018,848142,39461588,0.021492850211704606,13200.89,0.0402,1.0402
24684,California,Ventura County,621386.0,2019,846006,39512223,0.021411247856138085,13304.65,0.0117,1.0117
290,California,Yolo County,292327.0,2010,201073,37319502,0.005387880041914815,1575.02,0.0,1.0
3026,California,Yolo County,261356.0,2011,201954,37638369,0.005365641640847934,1402.34,-0.1059,0.8941
5762,California,Yolo County,273979.0,2012,204576,37948800,0.0053908423981785985,1476.98,0.0483,1.0483
8498,California,Yolo County,344036.0,2013,206292,38260787,0.005391734362390403,1854.95,0.2557,1.2557
11234,California,Yolo County,360891.0,2014,208398,38596972,0.005399335471186703,1948.57,0.049,1.049
13970,California,Yolo County,385541.0,2015,212037,38918045,0.005448295257379963,2100.54,0.0683,1.0683
16706,California,Yolo County,410275.0,2016,215627,39167117,0.005505306913449872,2258.69,0.0642,1.0642
19442,California,Yolo County,444505.0,2017,218477,39358497,0.005550948757011733,2467.42,0.0834,1.0834
22178,California,Yolo County,471026.0,2018,220118,39461588,0.005578031983913065,2627.4,0.0597,1.0597
24914,California,Yolo County,463874.0,2019,220500,39512223,0.005580551618166358,2588.67,-0.0152,0.9848
707,California,Yuba County,162109.0,2010,72348,37319502,0.0019386110779291749,314.27,0.0,1.0
3443,California,Yuba County,154890.0,2011,72489,37638369,0.0019259336131169764,298.31,-0.0445,0.9555
6179,California,Yuba County,164667.0,2012,72774,37948800,0.001917689096888439,315.78,0.0631,1.0631
8915,California,Yuba County,189704.0,2013,73090,38260787,0.0019103109405459956,362.39,0.152,1.152
11651,California,Yuba County,197587.0,2014,73533,38596972,0.0019051494505838438,376.43,0.0416,1.0416
14387,California,Yuba County,201099.0,2015,74045,38918045,0.0019025878612350647,382.61,0.0178,1.0178
17123,California,Yuba County,227840.0,2016,74952,39167117,0.0019136460822480245,436.01,0.133,1.133
19859,California,Yuba County,253943.0,2017,76578,39358497,0.00194565356497226,494.09,0.1146,1.1146
22595,California,Yuba County,271548.0,2018,77557,39461588,0.0019653795990166438,533.69,0.0693,1.0693
25331,California,Yuba County,290339.0,2019,78668,39512223,0.001990978842167397,578.06,0.0692,1.0692
142,Colorado,Adams County,185885.0,2010,443691,5047349,0.08790575012744314,16340.36,0.0,1.0
2878,Colorado,Adams County,178435.0,2011,452201,5121108,0.08830139883790773,15756.06,-0.0401,0.9599
5614,Colorado,Adams County,194401.0,2012,460558,5192647,0.08869426325340428,17242.25,0.0895,1.0895
8350,Colorado,Adams County,218917.0,2013,469978,5269035,0.08919621904200674,19526.57,0.1261,1.1261
11086,Colorado,Adams County,242907.0,2014,479946,5350101,0.08970783916041959,21790.66,0.1096,1.1096
13822,Colorado,Adams County,278870.0,2015,490443,5450623,0.08997925558234353,25092.52,0.1481,1.1481
16558,Colorado,Adams County,311463.0,2016,497734,5539215,0.08985641467247615,27986.95,0.1169,1.1169
19294,Colorado,Adams County,338211.0,2017,503590,5611885,0.08973633636469742,30349.82,0.0859,1.0859
22030,Colorado,Adams County,367660.0,2018,511354,5691287,0.08984857027944645,33033.73,0.0871,1.0871
24766,Colorado,Adams County,370303.0,2019,517421,5758736,0.0898497517510787,33271.63,0.0072,1.0072
1994,Colorado,Alamosa County,118199.0,2010,15515,5047349,0.003073890868255791,363.33,0.0,1.0
4730,Colorado,Alamosa County,117429.0,2011,15709,5121108,0.003067500236276993,360.21,-0.0065,0.9935
7466,Colorado,Alamosa County,121712.0,2012,15680,5192647,0.0030196545230207253,367.53,0.0365,1.0365
10202,Colorado,Alamosa County,131442.0,2013,15787,5269035,0.002996184310789357,393.82,0.0799,1.0799
12938,Colorado,Alamosa County,142818.0,2014,15803,5350101,0.0029537760128266737,421.85,0.0865,1.0865
15674,Colorado,Alamosa County,157687.0,2015,15894,5450623,0.002915996942000942,459.81,0.1041,1.1041
18410,Colorado,Alamosa County,170922.0,2016,16053,5539215,0.002898064075866346,495.34,0.0839,1.0839
21146,Colorado,Alamosa County,181525.0,2017,16108,5611885,0.0028703367941431443,521.04,0.062,1.062
23882,Colorado,Alamosa County,187330.0,2018,16248,5691287,0.0028548902910712462,534.81,0.032,1.032
26618,Colorado,Alamosa County,190864.0,2019,16233,5758736,0.0028188477471445123,538.02,0.0189,1.0189
103,Colorado,Arapahoe County,217304.0,2010,574747,5047349,0.11387106380002651,24744.64,0.0,1.0
2839,Colorado,Arapahoe County,208095.0,2011,585968,5121108,0.11442211333953511,23810.67,-0.0424,0.9576
5575,Colorado,Arapahoe County,228104.0,2012,596500,5192647,0.11487397467996573,26203.21,0.0962,1.0962
8311,Colorado,Arapahoe County,252968.0,2013,608467,5269035,0.11547977950421662,29212.69,0.109,1.109
11047,Colorado,Arapahoe County,273293.0,2014,619034,5350101,0.11570510538025357,31621.4,0.0803,1.0803
13783,Colorado,Arapahoe County,316231.0,2015,630984,5450623,0.11576364756836054,36608.05,0.1571,1.1571
16519,Colorado,Arapahoe County,345578.0,2016,638950,5539215,0.11535027977791076,39862.52,0.0928,1.0928
19255,Colorado,Arapahoe County,376886.0,2017,644478,5611885,0.1148416262984719,43282.2,0.0906,1.0906
21991,Colorado,Arapahoe County,398925.0,2018,651797,5691287,0.11452541402322533,45687.05,0.0585,1.0585
24727,Colorado,Arapahoe County,407148.0,2019,656590,5758736,0.11401633969676679,46421.52,0.0206,1.0206
2194,Colorado,Archuleta County,225448.0,2010,12046,5047349,0.0023865993811801006,538.05,0.0,1.0
4930,Colorado,Archuleta County,215707.0,2011,12021,5121108,0.002347343582677811,506.34,-0.0432,0.9568
7666,Colorado,Archuleta County,218445.0,2012,12132,5192647,0.0023363806551841477,510.37,0.0127,1.0127
10402,Colorado,Archuleta County,232955.0,2013,12216,5269035,0.0023184511015774236,540.09,0.0664,1.0664
13138,Colorado,Archuleta County,248071.0,2014,12231,5350101,0.0022861250656763302,567.12,0.0649,1.0649
15874,Colorado,Archuleta County,269955.0,2015,12387,5450623,0.0022725842532128897,613.5,0.0882,1.0882
18610,Colorado,Archuleta County,284673.0,2016,12825,5539215,0.0023153100213658432,659.11,0.0545,1.0545
21346,Colorado,Archuleta County,296040.0,2017,13295,5611885,0.002369079195314943,701.34,0.0399,1.0399
24082,Colorado,Archuleta County,315795.0,2018,13730,5691287,0.002412459607115227,761.84,0.0667,1.0667
26818,Colorado,Archuleta County,329861.0,2019,14029,5758736,0.0024361248718468777,803.58,0.0445,1.0445
2685,Colorado,Baca County,54193.0,2010,3807,5047349,0.0007542573338994391,40.88,0.0,1.0
5421,Colorado,Baca County,52341.0,2011,3778,5121108,0.0007377309754061036,38.61,-0.0342,0.9658
8157,Colorado,Baca County,54740.0,2012,3722,5192647,0.0007167827892017309,39.24,0.0458,1.0458
10893,Colorado,Baca County,58463.0,2013,3656,5269035,0.0006938651954295236,40.57,0.068,1.068
13629,Colorado,Baca County,61434.0,2014,3587,5350101,0.0006704546325387128,41.19,0.0508,1.0508
16365,Colorado,Baca County,64537.0,2015,3555,5450623,0.000652219021568727,42.09,0.0505,1.0505
19101,Colorado,Baca County,71664.0,2016,3530,5539215,0.0006372744152375382,45.67,0.1104,1.1104
21837,Colorado,Baca County,76169.0,2017,3554,5611885,0.0006332987935426332,48.24,0.0629,1.0629
24573,Colorado,Baca County,80135.0,2018,3584,5691287,0.0006297345398325546,50.46,0.0521,1.0521
27309,Colorado,Baca County,83593.0,2019,3581,5758736,0.0006218378477499229,51.98,0.0432,1.0432
2563,Colorado,Bent County,42007.0,2010,6500,5047349,0.0012878047466105475,54.1,0.0,1.0
5299,Colorado,Bent County,39382.0,2011,6424,5121108,0.0012544160365295948,49.4,-0.0625,0.9375
8035,Colorado,Bent County,40170.0,2012,5848,5192647,0.0011262078858817093,45.24,0.02,1.02
10771,Colorado,Bent County,44453.0,2013,5761,5269035,0.0010933690894063145,48.6,0.1066,1.1066
13507,Colorado,Bent County,48634.0,2014,5820,5350101,0.0010878299306872898,52.91,0.0941,1.0941
16243,Colorado,Bent County,52476.0,2015,5889,5450623,0.0010804269530290391,56.7,0.079,1.079
18979,Colorado,Bent County,56722.0,2016,5833,5539215,0.001053037298606391,59.73,0.0809,1.0809
21715,Colorado,Bent County,61528.0,2017,5827,5611885,0.0010383320399473617,63.89,0.0847,1.0847
24451,Colorado,Bent County,66112.0,2018,5808,5691287,0.0010205073123179345,67.47,0.0745,1.0745
27187,Colorado,Bent County,68129.0,2019,5577,5758736,0.0009684416858143871,65.98,0.0305,1.0305
211,Colorado,Boulder County,332321.0,2010,295037,5047349,0.05845385369626709,19425.44,0.0,1.0
2947,Colorado,Boulder County,327124.0,2011,299957,5121108,0.058572676069319374,19160.53,-0.0156,0.9844
5683,Colorado,Boulder County,342747.0,2012,304570,5192647,0.058654092989567745,20103.51,0.0478,1.0478
8419,Colorado,Boulder County,373444.0,2013,309323,5269035,0.05870581615039566,21923.33,0.0896,1.0896
11155,Colorado,Boulder County,400138.0,2014,312233,5350101,0.058360206657780855,23352.14,0.0715,1.0715
13891,Colorado,Boulder County,459428.0,2015,318027,5450623,0.05834690823415965,26806.2,0.1482,1.1482
16627,Colorado,Boulder County,503506.0,2016,321250,5539215,0.05799558240653233,29201.12,0.0959,1.0959
19363,Colorado,Boulder County,533666.0,2017,322441,5611885,0.05745680818477214,30662.74,0.0599,1.0599
22099,Colorado,Boulder County,563164.0,2018,324636,5691287,0.057040876694498095,32123.37,0.0553,1.0553
24835,Colorado,Boulder County,573911.0,2019,326196,5758736,0.05664368014091981,32508.43,0.0191,1.0191
856,Colorado,Broomfield County,286413.0,2010,56226,5047349,0.011139709181988406,3190.56,0.0,1.0
3592,Colorado,Broomfield County,282583.0,2011,57493,5121108,0.011226672040503734,3172.47,-0.0134,0.9866
6328,Colorado,Broomfield County,298199.0,2012,58971,5192647,0.011356635642669336,3386.54,0.0553,1.0553
9064,Colorado,Broomfield County,324139.0,2013,60149,5269035,0.011415562811786219,3700.23,0.087,1.087
11800,Colorado,Broomfield County,348005.0,2014,61764,5350101,0.011544454955149445,4017.53,0.0736,1.0735999999999999
14536,Colorado,Broomfield County,389987.0,2015,64866,5450623,0.011900657961484403,4641.1,0.1206,1.1206
17272,Colorado,Broomfield County,432650.0,2016,66513,5539215,0.012007658124842599,5195.11,0.1094,1.1094
20008,Colorado,Broomfield County,446199.0,2017,68263,5611885,0.012164005499043548,5427.57,0.0313,1.0313
22744,Colorado,Broomfield County,484247.0,2018,69324,5691287,0.012180724676158486,5898.48,0.0853,1.0853
25480,Colorado,Broomfield County,490122.0,2019,70465,5758736,0.01223619210882388,5997.23,0.0121,1.0121
1851,Colorado,Chaffee County,223626.0,2010,17808,5047349,0.003528188758098558,788.99,0.0,1.0
4587,Colorado,Chaffee County,226355.0,2011,18028,5121108,0.0035203319281686698,796.84,0.0122,1.0122
7323,Colorado,Chaffee County,232273.0,2012,18154,5192647,0.0034960974624310107,812.05,0.0261,1.0261
10059,Colorado,Chaffee County,252317.0,2013,18355,5269035,0.0034835600826337272,878.96,0.0863,1.0863
12795,Colorado,Chaffee County,272038.0,2014,18451,5350101,0.003448719940053468,938.18,0.0782,1.0782
15531,Colorado,Chaffee County,302444.0,2015,18612,5450623,0.003414655535706652,1032.74,0.1118,1.1118
18267,Colorado,Chaffee County,330765.0,2016,19110,5539215,0.00344994733008197,1141.12,0.0936,1.0936
21003,Colorado,Chaffee County,359620.0,2017,19666,5611885,0.0035043483606666923,1260.23,0.0872,1.0872
23739,Colorado,Chaffee County,382201.0,2018,20041,5691287,0.0035213476319152417,1345.86,0.0628,1.0628
26475,Colorado,Chaffee County,399411.0,2019,20356,5758736,0.0035348034707616393,1411.84,0.045,1.045
2724,Colorado,Cheyenne County,0.0,2010,1833,5047349,0.00036316093854417436,0.0,0.0,1.0
5460,Colorado,Cheyenne County,0.0,2011,1863,5121108,0.00036378846140327445,0.0,0.0,1.0
8196,Colorado,Cheyenne County,56321.0,2012,1872,5192647,0.0003605097746871682,20.3,0.0,1.0
10932,Colorado,Cheyenne County,61482.0,2013,1879,5269035,0.00035661178944531587,21.93,0.0916,1.0916
13668,Colorado,Cheyenne County,69259.0,2014,1846,5350101,0.00034504021512864896,23.9,0.1265,1.1265
16404,Colorado,Cheyenne County,77901.0,2015,1827,5450623,0.0003351910414644344,26.11,0.1248,1.1248
19140,Colorado,Cheyenne County,86807.0,2016,1850,5539215,0.00033398234226329906,28.99,0.1143,1.1143
21876,Colorado,Cheyenne County,93224.0,2017,1853,5611885,0.0003301920834086942,30.78,0.0739,1.0739
24612,Colorado,Cheyenne County,98591.0,2018,1859,5691287,0.0003266396511017631,32.2,0.0576,1.0576
27348,Colorado,Cheyenne County,103812.0,2019,1831,5758736,0.0003179517171823817,33.01,0.053,1.053
2386,Colorado,Clear Creek County,227600.0,2010,9083,5047349,0.0017995585405328619,409.58,0.0,1.0
5122,Colorado,Clear Creek County,224841.0,2011,9011,5121108,0.0017595801533574376,395.63,-0.0121,0.9879
7858,Colorado,Clear Creek County,231535.0,2012,9018,5192647,0.0017366865107526085,402.1,0.0298,1.0298
10594,Colorado,Clear Creek County,248959.0,2013,9024,5269035,0.0017126475720886272,426.38,0.0753,1.0753
13330,Colorado,Clear Creek County,268614.0,2014,9124,5350101,0.001705388365565435,458.09,0.0789,1.0789
16066,Colorado,Clear Creek County,295782.0,2015,9244,5450623,0.0016959529213449545,501.63,0.1011,1.1011
18802,Colorado,Clear Creek County,322863.0,2016,9353,5539215,0.001688506403885749,545.16,0.0916,1.0916
21538,Colorado,Clear Creek County,350092.0,2017,9574,5611885,0.001706022129819125,597.26,0.0843,1.0843
24274,Colorado,Clear Creek County,374213.0,2018,9604,5691287,0.0016874917747075485,631.48,0.0689,1.0689
27010,Colorado,Clear Creek County,392519.0,2019,9700,5758736,0.001684397409431514,661.16,0.0489,1.0489
2453,Colorado,Conejos County,79836.0,2010,8312,5047349,0.001646805085204134,131.47,0.0,1.0
5189,Colorado,Conejos County,79969.0,2011,8290,5121108,0.0016187903086597665,129.45,0.0017,1.0017
7925,Colorado,Conejos County,82536.0,2012,8248,5192647,0.001588399904711412,131.1,0.0321,1.0321
10661,Colorado,Conejos County,89084.0,2013,8199,5269035,0.0015560724117414289,138.62,0.0793,1.0793
13397,Colorado,Conejos County,96028.0,2014,8230,5350101,0.0015382887164186246,147.72,0.0779,1.0779
16133,Colorado,Conejos County,106909.0,2015,8065,5450623,0.0014796473724196298,158.19,0.1133,1.1133
18869,Colorado,Conejos County,115319.0,2016,8050,5539215,0.001453274516334896,167.59,0.0787,1.0787
21605,Colorado,Conejos County,122014.0,2017,8139,5611885,0.0014503148229160078,176.96,0.0581,1.0581
24341,Colorado,Conejos County,127162.0,2018,8181,5691287,0.0014374604549023797,182.79,0.0422,1.0422
27077,Colorado,Conejos County,130954.0,2019,8205,5758736,0.0014247918293181004,186.58,0.0298,1.0298
2693,Colorado,Costilla County,0.0,2010,3529,5047349,0.0006991789155059418,0.0,0.0,1.0
5429,Colorado,Costilla County,0.0,2011,3641,5121108,0.000710978952211123,0.0,0.0,1.0
8165,Colorado,Costilla County,0.0,2012,3603,5192647,0.0006938657682680914,0.0,0.0,1.0
10901,Colorado,Costilla County,0.0,2013,3541,5269035,0.00067203956701749,0.0,0.0,1.0
13637,Colorado,Costilla County,0.0,2014,3561,5350101,0.0006655949111988727,0.0,0.0,1.0
16373,Colorado,Costilla County,0.0,2015,3576,5450623,0.0006560717921602723,0.0,0.0,1.0
19109,Colorado,Costilla County,0.0,2016,3693,5539215,0.0006667009675558721,0.0,0.0,1.0
21845,Colorado,Costilla County,96651.0,2017,3756,5611885,0.0006692938290788211,64.69,0.0,1.0
24581,Colorado,Costilla County,104097.0,2018,3812,5691287,0.0006697957772995809,69.72,0.077,1.077
27317,Colorado,Costilla County,108823.0,2019,3887,5758736,0.0006749745082948759,73.45,0.0454,1.0454
2610,Colorado,Crowley County,0.0,2010,5861,5047349,0.0011612036338283721,0.0,0.0,1.0
5346,Colorado,Crowley County,0.0,2011,5882,5121108,0.0011485795652034676,0.0,0.0,1.0
8082,Colorado,Crowley County,0.0,2012,5467,5192647,0.001052834902892494,0.0,0.0,1.0
10818,Colorado,Crowley County,45281.0,2013,5346,5269035,0.001014607039049845,45.94,0.0,1.0
13554,Colorado,Crowley County,48381.0,2014,5609,5350101,0.001048391422890895,50.72,0.0685,1.0685
16290,Colorado,Crowley County,52587.0,2015,5628,5450623,0.00103254251853412,54.3,0.0869,1.0869
19026,Colorado,Crowley County,55683.0,2016,5285,5539215,0.0009541063128981273,53.13,0.0589,1.0589
21762,Colorado,Crowley County,61281.0,2017,5840,5611885,0.0010406485521353341,63.77,0.1005,1.1005
24498,Colorado,Crowley County,66692.0,2018,5957,5691287,0.0010466876824169998,69.81,0.0883,1.0883
27234,Colorado,Crowley County,70583.0,2019,6061,5758736,0.0010524879070684956,74.29,0.0583,1.0583
2667,Colorado,Custer County,165345.0,2010,4279,5047349,0.0008477717708840819,140.17,0.0,1.0
5403,Colorado,Custer County,153294.0,2011,4225,5121108,0.0008250167737138135,126.47,-0.0729,0.9271
8139,Colorado,Custer County,158389.0,2012,4219,5192647,0.0008124950531010485,128.69,0.0332,1.0332
10875,Colorado,Custer County,170286.0,2013,4261,5269035,0.0008086869796841357,137.71,0.0751,1.0751
13611,Colorado,Custer County,185113.0,2014,4340,5350101,0.0008111996390348519,150.16,0.0871,1.0871
16347,Colorado,Custer County,200370.0,2015,4434,5450623,0.0008134849906148343,163.0,0.0824,1.0824
19083,Colorado,Custer County,211217.0,2016,4588,5539215,0.0008282762088129816,174.95,0.0541,1.0541
21819,Colorado,Custer County,225451.0,2017,4857,5611885,0.0008654845920755682,195.12,0.0674,1.0674
24555,Colorado,Custer County,240233.0,2018,4934,5691287,0.0008669392353610001,208.27,0.0656,1.0656
27291,Colorado,Custer County,247792.0,2019,5068,5758736,0.0008800542341235993,218.07,0.0315,1.0315
1352,Colorado,Delta County,179228.0,2010,30860,5047349,0.006114100689292538,1095.82,0.0,1.0
4088,Colorado,Delta County,177414.0,2011,30393,5121108,0.0059348484741973805,1052.93,-0.0101,0.9899
6824,Colorado,Delta County,183438.0,2012,30465,5192647,0.005866949939019541,1076.22,0.034,1.034
9560,Colorado,Delta County,194445.0,2013,30338,5269035,0.005757790563167639,1119.57,0.06,1.06
12296,Colorado,Delta County,206792.0,2014,29963,5350101,0.005600455019447296,1158.13,0.0635,1.0635
15032,Colorado,Delta County,225963.0,2015,29913,5450623,0.005487996509756774,1240.08,0.0927,1.0927
17768,Colorado,Delta County,237992.0,2016,30346,5539215,0.005478393599093012,1303.81,0.0532,1.0532
20504,Colorado,Delta County,245892.0,2017,30519,5611885,0.005438279651133264,1337.23,0.0332,1.0332
23240,Colorado,Delta County,255412.0,2018,30884,5691287,0.005426540604963341,1386.0,0.0387,1.0387
25976,Colorado,Delta County,261818.0,2019,31162,5758736,0.00541125691471184,1416.76,0.0251,1.0251
100,Colorado,Denver County,243146.0,2010,603359,5047349,0.11953978217079897,29065.62,0.0,1.0
2836,Colorado,Denver County,239185.0,2011,620530,5121108,0.12117104345387755,28982.3,-0.0163,0.9837
5572,Colorado,Denver County,258159.0,2012,635163,5192647,0.12231969552330439,31577.93,0.0793,1.0793
8308,Colorado,Denver County,287566.0,2013,649391,5269035,0.12324666660973024,35441.55,0.1139,1.1139000000000001
11044,Colorado,Denver County,316935.0,2014,664582,5350101,0.12421858951821657,39369.22,0.1021,1.1021
13780,Colorado,Denver County,362993.0,2015,683285,5450623,0.12535906445923706,45504.46,0.1453,1.1453
16516,Colorado,Denver County,396501.0,2016,696159,5539215,0.1256782775176627,49831.56,0.0923,1.0923
19252,Colorado,Denver County,429777.0,2017,704961,5611885,0.12561928834963654,53988.28,0.0839,1.0839
21988,Colorado,Denver County,467607.0,2018,716265,5691287,0.1258529046242089,58849.7,0.088,1.088
24724,Colorado,Denver County,467458.0,2019,727211,5758736,0.12627962108351554,59030.42,-0.0003,0.9997
2719,Colorado,Dolores County,105805.0,2010,2069,5047349,0.0004099181570364958,43.37,0.0,1.0
5455,Colorado,Dolores County,101271.0,2011,2044,5121108,0.0003991323752594165,40.42,-0.0429,0.9571
8191,Colorado,Dolores County,108721.0,2012,2009,5192647,0.0003868932357620304,42.06,0.0736,1.0735999999999999
10927,Colorado,Dolores County,116077.0,2013,2033,5269035,0.00038583915271012625,44.79,0.0677,1.0677
13663,Colorado,Dolores County,130182.0,2014,1977,5350101,0.00036952573418707425,48.11,0.1215,1.1215
16399,Colorado,Dolores County,141310.0,2015,1981,5450623,0.0003634446924690994,51.36,0.0855,1.0855
19135,Colorado,Dolores County,159557.0,2016,2056,5539215,0.0003711717274018069,59.22,0.1291,1.1291
21871,Colorado,Dolores County,168760.0,2017,2045,5611885,0.0003644051864925956,61.5,0.0577,1.0577
24607,Colorado,Dolores County,177190.0,2018,2060,5691287,0.00036195679465822055,64.14,0.05,1.05
27343,Colorado,Dolores County,176502.0,2019,2055,5758736,0.000356849141895027,62.98,-0.0039,0.9961
215,Colorado,Douglas County,355229.0,2010,286977,5047349,0.05685697581047001,20197.25,0.0,1.0
2951,Colorado,Douglas County,348573.0,2011,292548,5121108,0.057125918844125136,19912.55,-0.0187,0.9813
5687,Colorado,Douglas County,349746.0,2012,298708,5192647,0.0575251889835762,20119.2,0.0034,1.0034
8423,Colorado,Douglas County,382025.0,2013,306234,5269035,0.05811956079244112,22203.13,0.0923,1.0923
11159,Colorado,Douglas County,406260.0,2014,314545,5350101,0.05879234803230818,23884.98,0.0634,1.0634
13895,Colorado,Douglas County,443936.0,2015,322025,5450623,0.05908040236868336,26227.92,0.0927,1.0927
16631,Colorado,Douglas County,469403.0,2016,328219,5539215,0.05925370291638797,27813.87,0.0574,1.0574
19367,Colorado,Douglas County,500010.0,2017,335816,5611885,0.059840142839705374,29920.67,0.0652,1.0652
22103,Colorado,Douglas County,523066.0,2018,342989,5691287,0.06026563060341185,31522.9,0.0461,1.0461
24839,Colorado,Douglas County,531334.0,2019,351154,5758736,0.06097761731046535,32399.48,0.0158,1.0158
909,Colorado,Eagle County,530958.0,2010,52099,5047349,0.010322052229794295,5480.58,0.0,1.0
3645,Colorado,Eagle County,457521.0,2011,52051,5121108,0.010164011381911883,4650.25,-0.1383,0.8617
6381,Colorado,Eagle County,490584.0,2012,52334,5192647,0.010078482130597363,4944.34,0.0723,1.0723
9117,Colorado,Eagle County,519772.0,2013,52816,5269035,0.010023846871391061,5210.11,0.0595,1.0594999999999999
11853,Colorado,Eagle County,571799.0,2014,53276,5350101,0.009957942850050867,5693.94,0.1001,1.1001
14589,Colorado,Eagle County,623208.0,2015,53865,5450623,0.009882356567313498,6158.76,0.0899,1.0899
17325,Colorado,Eagle County,641284.0,2016,54541,5539215,0.009846341042909509,6314.3,0.029,1.029
20061,Colorado,Eagle County,682254.0,2017,54929,5611885,0.009787976767164686,6677.89,0.0639,1.0639
22797,Colorado,Eagle County,727174.0,2018,54943,5691287,0.009653879693643987,7020.05,0.0658,1.0658
25533,Colorado,Eagle County,737817.0,2019,55127,5758736,0.009572760411312482,7062.95,0.0146,1.0146
95,Colorado,El Paso County,206517.0,2010,627031,5047349,0.12422976893414742,25655.56,0.0,1.0
2831,Colorado,El Paso County,199392.0,2011,637305,5121108,0.12444670176844543,24813.68,-0.0345,0.9655
5567,Colorado,El Paso County,206796.0,2012,646003,5192647,0.12440726280835189,25726.92,0.0371,1.0371
8303,Colorado,El Paso County,217172.0,2013,655209,5269035,0.124350853619306,27005.52,0.0502,1.0502
11039,Colorado,El Paso County,223031.0,2014,663129,5350101,0.12394700586026319,27644.02,0.027,1.027
13775,Colorado,El Paso County,234945.0,2015,674001,5450623,0.12365577292724153,29052.31,0.0534,1.0534
16511,Colorado,El Paso County,254497.0,2016,688277,5539215,0.12425533220862522,31622.61,0.0832,1.0832
19247,Colorado,El Paso County,280589.0,2017,700099,5611885,0.12475291279133482,35004.3,0.1025,1.1025
21983,Colorado,El Paso County,301933.0,2018,712089,5691287,0.12511915143270758,37777.6,0.0761,1.0761
24719,Colorado,El Paso County,319580.0,2019,720403,5758736,0.12509741721099907,39978.63,0.0584,1.0584
1615,Colorado,Elbert County,308447.0,2010,23142,5047349,0.004584981145547891,1414.22,0.0,1.0
4351,Colorado,Elbert County,303267.0,2011,23178,5121108,0.0045259736760091766,1372.58,-0.0168,0.9832
7087,Colorado,Elbert County,313437.0,2012,23274,5192647,0.004482107102601043,1404.86,0.0335,1.0335
9823,Colorado,Elbert County,337687.0,2013,23541,5269035,0.004467801029979873,1508.72,0.0774,1.0774
12559,Colorado,Elbert County,366723.0,2014,24031,5350101,0.004491690904526849,1647.21,0.086,1.086
15295,Colorado,Elbert County,404677.0,2015,24630,5450623,0.004518749508083755,1828.63,0.1035,1.1035
18031,Colorado,Elbert County,441911.0,2016,25157,5539215,0.004541618261793413,2006.99,0.092,1.092
20767,Colorado,Elbert County,481876.0,2017,25765,5611885,0.004591148963316248,2212.36,0.0904,1.0904
23503,Colorado,Elbert County,518895.0,2018,26303,5691287,0.004621626004803483,2398.14,0.0768,1.0768
26239,Colorado,Elbert County,542533.0,2019,26729,5758736,0.004641469933679891,2518.15,0.0456,1.0456
979,Colorado,Fremont County,0.0,2010,46837,5047349,0.009279524756461262,0.0,0.0,1.0
3715,Colorado,Fremont County,0.0,2011,47379,5121108,0.00925170880989036,0.0,0.0,1.0
6451,Colorado,Fremont County,0.0,2012,47052,5192647,0.009061274529156324,0.0,0.0,1.0
9187,Colorado,Fremont County,0.0,2013,46332,5269035,0.008793261005098656,0.0,0.0,1.0
11923,Colorado,Fremont County,0.0,2014,46147,5350101,0.00862544464113855,0.0,0.0,1.0
14659,Colorado,Fremont County,0.0,2015,46282,5450623,0.008491139453233144,0.0,0.0,1.0
17395,Colorado,Fremont County,0.0,2016,46976,5539215,0.008480624059546344,0.0,0.0,1.0
20131,Colorado,Fremont County,0.0,2017,47548,5611885,0.008472732424131999,0.0,0.0,1.0
22867,Colorado,Fremont County,0.0,2018,47959,5691287,0.008426740735443495,0.0,0.0,1.0
25603,Colorado,Fremont County,233176.0,2019,47839,5758736,0.008307204914411774,1937.04,0.0,1.0
853,Colorado,Garfield County,232604.0,2010,56072,5047349,0.011109198115684095,2584.04,0.0,1.0
3589,Colorado,Garfield County,228073.0,2011,56048,5121108,0.010944506540381496,2496.15,-0.0195,0.9805
6325,Colorado,Garfield County,236039.0,2012,56761,5192647,0.010931033825330318,2580.15,0.0349,1.0349
9061,Colorado,Garfield County,262897.0,2013,56938,5269035,0.010806153308907608,2840.91,0.1138,1.1138
11797,Colorado,Garfield County,313204.0,2014,57161,5350101,0.010684097365638518,3346.3,0.1914,1.1914
14533,Colorado,Garfield County,333750.0,2015,57698,5450623,0.010585578932903633,3532.94,0.0656,1.0656
17269,Colorado,Garfield County,355095.0,2016,58785,5539215,0.0106125145891611,3768.45,0.064,1.064
20005,Colorado,Garfield County,383568.0,2017,59032,5611885,0.01051910365233785,4034.79,0.0802,1.0802
22741,Colorado,Garfield County,409325.0,2018,59701,5691287,0.01048989446499535,4293.78,0.0672,1.0672
25477,Colorado,Garfield County,419105.0,2019,60061,5758736,0.01042954565029548,4371.07,0.0239,1.0239
2622,Colorado,Gilpin County,222583.0,2010,5471,5047349,0.0010839353490317393,241.27,0.0,1.0
5358,Colorado,Gilpin County,217521.0,2011,5428,5121108,0.001059926875199664,230.56,-0.0227,0.9773
8094,Colorado,Gilpin County,224868.0,2012,5431,5192647,0.0010459020226100484,235.19,0.0338,1.0338
10830,Colorado,Gilpin County,241190.0,2013,5530,5269035,0.001049528044509099,253.14,0.0726,1.0726
